State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes
Odisha,Dhenkanal,5,PRIYABRATA GARNAIK,Hindusthan Nirman Dal,6940,6,6946
Odisha,Dhenkanal,6,BIJAYA KUMAR BEHERA,Ambedkarite Party of India,4736,6,4742
Odisha,Dhenkanal,7,MANASI SWAIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3285,10,3295
Odisha,Dhenkanal,8,RANJAN KUMAR SAHOO,Bhartiya Manavadhikaar Federal Party,2913,1,2914
Odisha,Dhenkanal,9,SAROJ KUMAR SATPATHY,Samata Kranti Dal,3874,3,3877
Odisha,Dhenkanal,10,NOTA,None of the Above,11242,12,11254
Odisha,Jagatsinghpur,1,PRATIMA MALLICK,Indian National Congress,239114,570,239684
Odisha,Jagatsinghpur,2,BIBHU PRASAD TARAI,Bharatiya Janata Party,346398,1932,348330
Odisha,Jagatsinghpur,3,BIBHUTI BHUSAN MAJHI,Bahujan Samaj Party,5226,18,5244
Odisha,Jagatsinghpur,4,RAJASHREE MALLICK,Biju Janata Dal,618955,1030,619985
Odisha,Jagatsinghpur,5,ANIL KUMAR BEHERA,Freethought Party of India,3585,1,3586
Odisha,Jagatsinghpur,6,JAGANNATH MEGH,Jai Prakash Janata Dal,1237,0,1237
Odisha,Jagatsinghpur,7,DIPAK KUMAR DAS,Akhil Bharat Hindu Mahasabha,1503,0,1503
Odisha,Jagatsinghpur,8,PEEYUUSH DAS,Ambedkarite Party of India,1751,0,1751
Odisha,Jagatsinghpur,9,SASMITA DAS,Independent,1804,9,1813
Odisha,Jagatsinghpur,10,NOTA,None of the Above,6042,15,6057
Odisha,Jajpur,1,AMIYA KANTA MALLICK,Bharatiya Janata Party,438171,4156,442327
Odisha,Jajpur,2,MANAS JENA,Indian National Congress,82834,487,83321
Odisha,Jajpur,3,SARMISTHA SETHI,Biju Janata Dal,542476,1544,544020
Odisha,Jajpur,4,TILOTTAMA SETHY,"Proutist Bloc, India",4467,3,4470
Odisha,Jajpur,5,BHIMA SEN BEHERA,Freethought Party of India,1794,7,1801
Odisha,Jajpur,6,RANJIT MALIK,Bahujan Mukti Party,2041,8,2049
Odisha,Jajpur,7,SUNAKAR BEHERA,Jai Prakash Janata Dal,1982,3,1985
Odisha,Jajpur,8,SUBASA CHANDRA MALIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4934,16,4950
Odisha,Jajpur,9,NOTA,None of the Above,7149,12,7161
Odisha,Kalahandi,1,PUSPENDRA SINGH DEO,Biju Janata Dal,405641,619,406260
Odisha,Kalahandi,2,PREMANANDA BAG,Bahujan Samaj Party,10416,32,10448
Odisha,Kalahandi,3,BASANTA KUMAR PANDA,Bharatiya Janata Party,429710,3364,433074
Odisha,Kalahandi,4,BHAKTA CHARAN DAS,Indian National Congress,317915,1287,319202
Odisha,Kalahandi,5,KAMALINI YADAV,Bahujan Mukti Party,15833,31,15864
Odisha,Kalahandi,6,CHHABILAL NIAL,Ambedkarite Party of India,12391,18,12409
Odisha,Kalahandi,7,HATIRAM DURGA,Independent,9828,8,9836
Odisha,Kalahandi,8,NOTA,None of the Above,21172,27,21199
Odisha,Kandhamal,1,ACHYUTANANDA SAMANTA,Biju Janata Dal,461154,525,461679
Odisha,Kandhamal,2,Amir Nayak,Bahujan Samaj Party,7289,25,7314
Odisha,Kandhamal,3,Manoj Kumar Acharya,Indian National Congress,138647,346,138993
Odisha,Kandhamal,4,Mahameghabahan Aira Kharabela Swain,Bharatiya Janata Party,310883,1580,312463
Odisha,Kandhamal,5,TUNA MALLICK,Communist Party of India (Marxist-Leninist) Red Star,8278,5,8283
Odisha,Kandhamal,6,NOTA,None of the Above,13247,6,13253
Odisha,Kendrapara,1,Anubhav Mohanty,Biju Janata Dal,628109,830,628939
Odisha,Kendrapara,2,DHARANIDHAR NAYAK,Indian National Congress,113648,193,113841
Odisha,Kendrapara,3,BAIJAYANT PANDA,Bharatiya Janata Party,474051,2304,476355
Odisha,Kendrapara,4,Rabindra Nath Behera,Samajwadi Party,5133,5,5138
Odisha,Kendrapara,5,Srikanta Samal,Krupaa Party,1866,2,1868
Odisha,Kendrapara,6,Santosh Kumar Das,Independent,1455,1,1456
Odisha,Kendrapara,7,SANTOSH KUMAR PATRA,Independent,2279,2,2281
Odisha,Kendrapara,8,NOTA,None of the Above,6584,4,6588
Odisha,Keonjhar,1,Ananta Nayak,Bharatiya Janata Party,458064,2092,460156
Odisha,Keonjhar,2,Chandrani Murmu,Biju Janata Dal,525886,473,526359
Odisha,Keonjhar,3,Durga Chandra Pingua,Bahujan Samaj Party,9296,12,9308
Odisha,Keonjhar,4,Mohan Kumar Hembram,Indian National Congress,128542,174,128716
Odisha,Keonjhar,5,Prafulla Nayak,All India Forward Bloc,5864,2,5866
Odisha,Keonjhar,6,Ramesh Laguri,Bahujan Mukti Party,5723,5,5728
Odisha,Keonjhar,7,Dr. Sudarshan Lohar,Rashtriya Indepndent Morcha,10911,3,10914
Odisha,Keonjhar,8,Lalmohan Hansda,Akhil Bharat Hindu Mahasabha,10036,2,10038
Odisha,Keonjhar,9,NOTA,None of the Above,19204,3,19207
Odisha,Koraput,1,KAUSALYA HIKAKA,Biju Janata Dal,366812,704,367516
Odisha,Koraput,2,JAYARAM PANGI,Bharatiya Janata Party,206153,2245,208398
Odisha,Koraput,3,BHASKAR MUTUKA,Bahujan Samaj Party,35668,96,35764
Odisha,Koraput,4,SAPTAGIRI SANKAR ULAKA,Indian National Congress,370434,695,371129
Odisha,Koraput,5,DAMODARA SABAR,Communist Party of India (Marxist-Leninist) (Liberation),26112,5,26117
Odisha,Koraput,6,BANAMALI MAJHI,Ambedkarite Party of India,18842,7,18849
Odisha,Koraput,7,RAJENDRA KENDRUKA,Communist Party of India (Marxist-Leninist) Red Star,15826,1,15827
Odisha,Koraput,8,NOTA,None of the Above,36525,36,36561
Odisha,Mayurbhanj,1,DR DEBASHIS MARNDI,Biju Janata Dal,457676,880,458556
Odisha,Mayurbhanj,2,BISHWESWAR TUDU,Bharatiya Janata Party,480253,3559,483812
Odisha,Mayurbhanj,3,RAMCHANDRA SINGH,Bahujan Samaj Party,10223,17,10240
Odisha,Mayurbhanj,4,ANJANI SOREN,Jharkhand Mukti Morcha,135265,287,135552
Odisha,Mayurbhanj,5,BHARAT CHANDRA SINGH,Bahujan Mukti Party,9300,15,9315
Odisha,Mayurbhanj,6,NANDA KISHORE KISKU,Independent,6879,10,6889
Odisha,Mayurbhanj,7,PARBATI PURTY,Independent,13905,32,13937
Odisha,Mayurbhanj,8,RABINDRA NATH SINGH,Independent,10675,24,10699
Odisha,Mayurbhanj,9,NOTA,None of the Above,21336,21,21357
Odisha,Nabarangpur,1,CHANDRADHWAJ MAJHI,Bahujan Samaj Party,28189,716,28905
Odisha,Nabarangpur,2,PRADEEP KUMAR MAJHI,Indian National Congress,349437,1433,350870
Odisha,Nabarangpur,3,BALABHADRA MAJHI,Bharatiya Janata Party,342510,329,342839
Odisha,Nabarangpur,4,RAMESH CHANDRA MAJHI,Biju Janata Dal,392481,23,392504
Odisha,Nabarangpur,5,NOTA,None of the Above,44580,2,44582
Odisha,Puri,1,NRUSINGHA CHARAN DAS,Bahujan Samaj Party,6259,24,6283
Odisha,Puri,2,PINAKI MISRA,Biju Janata Dal,537782,539,538321
Odisha,Puri,3,SATYA PRAKASH NAYAK,Indian National Congress,44599,135,44734
Odisha,Puri,4,Dr Sambit Patra,Bharatiya Janata Party,524504,2103,526607
Odisha,Puri,5,JAYAPRAKASH SETHI,Akhil Bharat Hindu Mahasabha,5005,3,5008
Odisha,Puri,6,Mandakini Sethi,Communist Party of India (Marxist-Leninist) (Liberation),2648,3,2651
Odisha,Puri,7,RANJAN MISHRA,Communist Party of India (Marxist-Leninist) Red Star,2311,1,2312
Odisha,Puri,8,Sabyasachi Mohapatra,Kalinga Sena,2485,2,2487
Odisha,Puri,9,NOTA,None of the Above,7210,7,7217
Odisha,Sambalpur,1,NALINI KANTA PRADHAN,Biju Janata Dal,464063,545,464608
Odisha,Sambalpur,2,NITESH GANGA DEB,Bharatiya Janata Party,471382,2388,473770
Odisha,Sambalpur,3,MD. MUSTUKIM,Bahujan Samaj Party,8157,20,8177
Odisha,Sambalpur,4,SARAT PATTANAYAK,Indian National Congress,135672,297,135969
Odisha,Sambalpur,5,Atma Ram Supkar,Pragatishil Samajwadi Party (Lohia),3787,4,3791
Odisha,Sambalpur,6,ASHUTOSH KUMAR HANUMAN,Bharat Prabhat Party,2053,5,2058
Odisha,Sambalpur,7,NABAKISHORE PRADHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2709,6,2715
Odisha,Sambalpur,8,PRABHAT KUMAR DHARUA,Gondvana Gantantra Party,2694,5,2699
Odisha,Sambalpur,9,BINAY OCEAN,Ambedkarite Party of India,6579,2,6581
Odisha,Sambalpur,10,SANTOSHINI KARNA,Ambedkar National Congress,5193,4,5197
Odisha,Sambalpur,11,KANHU CHARAN SANBAD,Independent,5432,2,5434
Odisha,Sambalpur,12,NOTA,None of the Above,13443,13,13456
Odisha,Sundargarh,1,George Tirkey,Indian National Congress,267672,546,268218
Odisha,Sundargarh,2,Jual Oram,Bharatiya Janata Party,498468,1588,500056
Odisha,Sundargarh,3,Sunita Biswal,Biju Janata Dal,276710,281,276991
Odisha,Sundargarh,4,Justin Lugun,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9516,8,9524
Odisha,Sundargarh,5,Dayananda Bhitria,Hindusthan Nirman Dal,4027,0,4027
Odisha,Sundargarh,6,Basil Ekka,Aam Aadmi Party,6605,9,6614
Odisha,Sundargarh,7,Udit Chandra Amat,Independent,6230,4,6234
Odisha,Sundargarh,8,Miss Juspin Lakra,Independent,14779,11,14790
Odisha,Sundargarh,9,NOTA,None of the Above,13665,10,13675
Puducherry,Puducherry,1,Dr. NARAYANASAMY KESAVAN,All India N.R. Congress,247844,112,247956
Puducherry,Puducherry,2,A.G.PATHIMARAJ,Bahujan Samaj Party,2685,4,2689
Puducherry,Puducherry,3,Ve. VAITHILINGAM,Indian National Congress,444646,335,444981
Puducherry,Puducherry,4,K.ARUNACHALAM,Agila India Makkal Kazhagam,2199,2,2201
Puducherry,Puducherry,5,Dr.M.A.S. SUBRAMANIAN,Makkal Needhi Maiam,38046,22,38068
Puducherry,Puducherry,6,S. THIRUGNANAM,Anti Corruption Dynamic Party,673,1,674
Puducherry,Puducherry,7,BASKARAN.S,Puducherry Development Party,1318,1,1319
Puducherry,Puducherry,8,MUTHU.U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1285,0,1285
Puducherry,Puducherry,9,S.MOTHILAL,Communist Party of India (Marxist-Leninist) (Liberation),904,1,905
Puducherry,Puducherry,10,N.SHARMILA BEGUM,Naam Tamilar Katchi,22842,15,22857
Puducherry,Puducherry,11,K. RAMADOSS,Independent,542,1,543
Puducherry,Puducherry,12,KRISHNAMURTHY.M,Independent,3579,0,3579
Puducherry,Puducherry,13,THANGAVELU.S,Independent,1002,0,1002
Puducherry,Puducherry,14,N. TAMIZH MARANE,Independent,4785,6,4791
Puducherry,Puducherry,15,TIRAVITAMANKAI@LOURDHUMARY,Independent,870,0,870
Puducherry,Puducherry,16,IMS. BALAJI,Independent,2546,0,2546
Puducherry,Puducherry,17,RAMESH.D,Independent,1653,0,1653
Puducherry,Puducherry,18,V. RAMAMURTHI,Independent,641,1,642
Puducherry,Puducherry,19,NOTA,None of the Above,12192,7,12199
Punjab,Amritsar,1,HARDEEP SINGH PURI,Bharatiya Janata Party,344049,1357,345406
Punjab,Amritsar,2,KULDIP SINGH DHALIWAL,Aam Aadmi Party,19800,287,20087
Punjab,Amritsar,3,GURJEET SINGH AUJLA,Indian National Congress,444052,980,445032
Punjab,Amritsar,4,DASWINDER KAUR,Communist Party of India,16278,57,16335
Punjab,Amritsar,5,SATNAM SINGH,Democratic Party of India (Ambedkar),786,13,799
Punjab,Amritsar,6,KAWALJIT SINGH SAHOTA,Bahujan Samaj Party (Ambedkar),733,41,774
Punjab,Amritsar,7,KEWAL KRISHAN,Bahujan Mukti Party,668,10,678
Punjab,Amritsar,8,GAGANDEEP KUMAR,Shivsena,1186,7,1193
Punjab,Amritsar,9,LAKHWINDER SINGH SIDHU,Republican Party of India (A),1316,9,1325
Punjab,Amritsar,10,SARABJIT SINGH,Independent,549,12,561
Punjab,Amritsar,11,SHAMSHER SINGH,Independent,508,6,514
Punjab,Amritsar,12,SANJEEV KUMAR,Independent,487,2,489
Punjab,Amritsar,13,SANDEEP SINGH,Independent,1017,2,1019
Punjab,Amritsar,14,SHAM LAL GANDHIWADI,Independent,3250,1,3251
Punjab,Amritsar,15,SUNIL KUMAR BHATTI,Independent,702,1,703
Punjab,Amritsar,16,SUNIL KUMAR MATTU,Independent,3204,0,3204
Punjab,Amritsar,17,SHUBHAM KUMAR,Independent,2310,1,2311
Punjab,Amritsar,18,SUMAN SINGH,Independent,433,0,433
Punjab,Amritsar,19,SURJIT SINGH,Independent,1607,2,1609
Punjab,Amritsar,20,HARJINDER SINGH,Independent,539,2,541
Punjab,Amritsar,21,KASHMIR SINGH,Independent,467,2,469
Punjab,Amritsar,22,KABAL SINGH,Independent,258,2,260
Punjab,Amritsar,23,GAUTAM,Independent,380,1,381
Punjab,Amritsar,24,CHAND KUMAR,Independent,233,2,235
Punjab,Amritsar,25,CHAIN SINGH BAINKA,Independent,445,2,447
Punjab,Amritsar,26,JASPAL SINGH,Independent,271,0,271
Punjab,Amritsar,27,BALWINDER SINGH,Independent,334,1,335
Punjab,Amritsar,28,BAL KRISHAN,Independent,598,2,600
Punjab,Amritsar,29,MOHINDER SINGH,Independent,899,2,901
Punjab,Amritsar,30,MOHINDER SINGH NAMDHARI,Independent,586,1,587
Punjab,Amritsar,31,NOTA,None of the Above,8713,50,8763
Punjab,Anandpur Sahib,1,Sodhi Vikram Singh,Bahujan Samaj Party,146077,364,146441
Punjab,Anandpur Sahib,2,Narinder Singh Shergill,Aam Aadmi Party,52539,513,53052
Punjab,Anandpur Sahib,3,Professor Prem Singh Chandumajra,Shiromani Akali Dal,379552,1609,381161
Punjab,Anandpur Sahib,4,Manish Tewari,Indian National Congress,426904,1141,428045
Punjab,Anandpur Sahib,5,Raghunath Singh,Communist Party of India (Marxist),10638,27,10665
Punjab,Anandpur Sahib,6,Ashwani Kumar,Hindustan Shakti Sena,1707,25,1732
Punjab,Anandpur Sahib,7,Dr. Sukhdeep Kaur,Janral Samaj Party,942,86,1028
Punjab,Anandpur Sahib,8,Surinder Kaur Mangat,Rashtriya Janshakti Party (Secular),1097,9,1106
Punjab,Anandpur Sahib,9,Harmesh Sharma,Jai Jawan Jai Kisan Party,910,21,931
Punjab,Anandpur Sahib,10,Kawaljeet Singh,Hind Congress Party,866,36,902
Punjab,Anandpur Sahib,11,Kulwinder Kaur,Ambedkarite Party of India,1911,18,1929
Punjab,Anandpur Sahib,12,Gurbinder Singh Sonu,Peoples Party of India (Democratic),1516,6,1522
Punjab,Anandpur Sahib,13,Jodh Singh Thandi,Bhartiya Lok Seva Dal,2904,17,2921
Punjab,Anandpur Sahib,14,Faqir Chand,Shivsena,2397,68,2465
Punjab,Anandpur Sahib,15,Bir Devinder Singh,Shiromani Akali Dal (Taksali),10315,109,10424
Punjab,Anandpur Sahib,16,Bargava Reddy D,Pyramid Party of India,2820,4,2824
Punjab,Anandpur Sahib,17,Avtar Singh,Independent,3637,9,3646
Punjab,Anandpur Sahib,18,Ashish Garg,Independent,2782,2,2784
Punjab,Anandpur Sahib,19,Sunaina,Independent,1882,30,1912
Punjab,Anandpur Sahib,20,Kirpal Kaur,Independent,2141,30,2171
Punjab,Anandpur Sahib,21,Charan Dass,Independent,958,2,960
Punjab,Anandpur Sahib,22,Jagneet Singh Balsuan,Independent,1114,3,1117
Punjab,Anandpur Sahib,23,Dr. Paramjeet Singh Ranu,Independent,1313,3,1316
Punjab,Anandpur Sahib,24,Manmohan Singh,Independent,1381,1,1382
Punjab,Anandpur Sahib,25,Rakesh Kumar,Independent,1008,3,1011
Punjab,Anandpur Sahib,26,Vikram Singh John,Independent,1141,4,1145
Punjab,Anandpur Sahib,27,NOTA,None of the Above,17069,66,17135
Punjab,Bathinda,1,Amrinder Singh Raja Warring,Indian National Congress,469412,1640,471052
Punjab,Bathinda,2,Harsimrat Kaur Badal,Shiromani Akali Dal,490811,2013,492824
Punjab,Bathinda,3,Prof. Baljinder Kaur,Aam Aadmi Party,133728,670,134398
Punjab,Bathinda,4,Swarn Singh Dhaliwal,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5082,24,5106
Punjab,Bathinda,5,Sukhchain Singh Bhargav,Hindustan Shakti Sena,1777,17,1794
Punjab,Bathinda,6,Sukhpal Singh Khaira,Punjab Ekta Party,37854,345,38199
Punjab,Bathinda,7,Gursewak Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),3777,43,3820
Punjab,Bathinda,8,Gurmeet Singh Insa,Punjab Labour Party,678,14,692
Punjab,Bathinda,9,Dr. Jagsir Singh Mrar,Bahujan Mukti Party,1047,19,1066
Punjab,Bathinda,10,Rtd. Subedar Major Jagdev Singh Raipur,Bhartiya Lok Seva Dal,1737,28,1765
Punjab,Bathinda,11,Baljinder Kumar Sangila,Socialist Party (India),1394,12,1406
Punjab,Bathinda,12,Bhagwant Singh Samaon,Communist Party of India (Marxist-Leninist) (Liberation),5372,9,5381
Punjab,Bathinda,13,Bhupinder Singh Bhainda Waring,Samaj Adhikar Kalyan Party,1298,4,1302
Punjab,Bathinda,14,Amrik Singh,Independent,1664,12,1676
Punjab,Bathinda,15,Sandeep Kumar,Independent,2726,5,2731
Punjab,Bathinda,16,Surjeet Singh,Independent,5869,3,5872
Punjab,Bathinda,17,Harpal Singh,Independent,4626,1,4627
Punjab,Bathinda,18,Kartar Singh,Independent,2978,0,2978
Punjab,Bathinda,19,Gurcharan Singh,Independent,1484,1,1485
Punjab,Bathinda,20,Gurmail Singh,Independent,800,4,804
Punjab,Bathinda,21,Teja Singh,Independent,1446,2,1448
Punjab,Bathinda,22,Nahar Singh,Independent,956,4,960
Punjab,Bathinda,23,Bhola Singh Sahota,Independent,882,2,884
Punjab,Bathinda,24,Manjit Kaur,Independent,1067,5,1072
Punjab,Bathinda,25,Ranveer Singh Rana,Independent,911,2,913
Punjab,Bathinda,26,Prof. Lakhbir Singh,Independent,1145,9,1154
Punjab,Bathinda,27,Veerpal Kaur,Independent,2069,9,2078
Punjab,Bathinda,28,NOTA,None of the Above,13220,103,13323
Punjab,Faridkot,1,Prof. Sadhu Singh,Aam Aadmi Party,114610,709,115319
Punjab,Faridkot,2,Gulzar Singh Ranike,Shiromani Akali Dal,334674,1135,335809
Punjab,Faridkot,3,Dr. Daljit Singh Chauhan,Nationalist Congress Party,3407,178,3585
Punjab,Faridkot,4,Mohammad Sadique,Indian National Congress,417936,1129,419065
Punjab,Faridkot,5,Om Parkash,Bhartiya Janraj Party,2757,278,3035
Punjab,Faridkot,6,Ajay Kumar,Indian Democratic Republican Front,6094,12,6106
Punjab,Faridkot,7,Amandeep Kaur,Peoples Party of India (Democratic),1231,59,1290
Punjab,Faridkot,8,Dr. Swarn Singh,Apna Samaj Party,3663,15,3678
Punjab,Faridkot,9,Sukhdev Singh,Hindustan Shakti Sena,1780,5,1785
Punjab,Faridkot,10,Chanan Singh Wattu,Bahujan Mukti Party,1296,17,1313
Punjab,Faridkot,11,Parminder Singh,Bharat Prabhat Party,799,11,810
Punjab,Faridkot,12,Master Baldev Singh,Punjab Ekta Party,43794,138,43932
Punjab,Faridkot,13,Bhola Singh,Bhartiya Lok Seva Dal,3455,7,3462
Punjab,Faridkot,14,Rajinder Kaur Safri,Rashtriya Janshakti Party (Secular),2128,10,2138
Punjab,Faridkot,15,Veerpal Kaur,Samaj Adhikar Kalyan Party,1765,20,1785
Punjab,Faridkot,16,Jaswinder Singh,Independent,4909,3,4912
Punjab,Faridkot,17,Jagmeet Singh,Independent,2089,2,2091
Punjab,Faridkot,18,Darshan Singh,Independent,2052,2,2054
Punjab,Faridkot,19,Nanak Singh Chauhan,Independent,1404,11,1415
Punjab,Faridkot,20,Badal Singh,Independent,2113,4,2117
Punjab,Faridkot,21,NOTA,None of the Above,19053,193,19246
Punjab,Fatehgarh Sahib,1,AMAR SINGH,Indian National Congress,410723,928,411651
Punjab,Fatehgarh Sahib,2,DARBARA SINGH GURU,Shiromani Akali Dal,316999,754,317753
Punjab,Fatehgarh Sahib,3,BANDEEP SINGH,Aam Aadmi Party,62553,328,62881
Punjab,Fatehgarh Sahib,4,ASHOK KUMAR,Rashtriya Lokswaraj Party,3285,11,3296
Punjab,Fatehgarh Sahib,5,SURJIT SINGH KANG,Bhartiya Lok Seva Dal,3433,36,3469
Punjab,Fatehgarh Sahib,6,HARCHAND SINGH,Revolutionary Socialist Party,1730,3,1733
Punjab,Fatehgarh Sahib,7,KAMALJEET SINGH,Democratic Party of India (Ambedkar),2352,35,2387
Punjab,Fatehgarh Sahib,8,GURJIT SINGH,Sarvjan Sewa Party,935,7,942
Punjab,Fatehgarh Sahib,9,GURBACHAN SINGH,Samaj Adhikar Kalyan Party,1302,8,1310
Punjab,Fatehgarh Sahib,10,BALWINDER KAUR,Jai Jawan Jai Kisan Party,1262,27,1289
Punjab,Fatehgarh Sahib,11,MANWINDER SINGH GIASPURA,Lok Insaaf Party,142072,202,142274
Punjab,Fatehgarh Sahib,12,RAM SINGH RAISAL,Ambedkarite Party of India,1932,7,1939
Punjab,Fatehgarh Sahib,13,VINOD KUMAR,Bharat Prabhat Party,1102,20,1122
Punjab,Fatehgarh Sahib,14,KARANDEEP SINGH,Independent,1044,0,1044
Punjab,Fatehgarh Sahib,15,KULDEEP SINGH SAHOTA,Independent,4694,5,4699
Punjab,Fatehgarh Sahib,16,GURCHARAN SINGH MACHHIWARA,Independent,4972,14,4986
Punjab,Fatehgarh Sahib,17,ADVOCATE PRABHJOT SINGH,Independent,3939,3,3942
Punjab,Fatehgarh Sahib,18,PREM SINGH MOHANPUR,Independent,2554,5,2559
Punjab,Fatehgarh Sahib,19,BALKAR SINGH,Independent,1858,3,1861
Punjab,Fatehgarh Sahib,20,LACHHMAN SINGH,Independent,1760,6,1766
Punjab,Fatehgarh Sahib,21,NOTA,None of the Above,12985,60,13045
Punjab,Firozpur,1,SUKHBIR SINGH BADAL,Shiromani Akali Dal,631100,2327,633427
Punjab,Firozpur,2,SHER SINGH GHUBAYA,Indian National Congress,432964,1613,434577
Punjab,Firozpur,3,HANS RAJ GOLDEN,Communist Party of India,25967,161,26128
Punjab,Firozpur,4,HARJINDER SINGH KAKA SRAN,Aam Aadmi Party,31240,632,31872
Punjab,Firozpur,5,SUNNY BAWA,Akhil Bhartiya Apna Dal,1056,16,1072
Punjab,Firozpur,6,SUKHJIT SINGH,Bhartiya Lok Seva Dal,1580,46,1626
Punjab,Firozpur,7,HARMANDER SINGH,Samaj Adhikar Kalyan Party,518,5,523
Punjab,Firozpur,8,NARESH KUMAR,Hindustan Shakti Sena,1758,3,1761
Punjab,Firozpur,9,BALWANT SINGH KHALSA,Janral Samaj Party,1185,9,1194
Punjab,Firozpur,10,MADAN LAL,Republican Party of India (Reformist),947,5,952
Punjab,Firozpur,11,SATNAM SINGH SON OF GURDEEP SINGH,Independent,747,3,750
Punjab,Firozpur,12,SATNAM SINGH SON OF BALWANT SINGH,Independent,900,9,909
Punjab,Firozpur,13,SUSHIL KUMAR,Independent,817,7,824
Punjab,Firozpur,14,SURJIT SINGH,Independent,1032,2,1034
Punjab,Firozpur,15,KASHMIR SINGH,Independent,2386,1,2387
Punjab,Firozpur,16,KULDEEP SINGH,Independent,5088,4,5092
Punjab,Firozpur,17,JATINDER SINGH THIND,Independent,6791,13,6804
Punjab,Firozpur,18,PARWINDER SINGH,Independent,2404,0,2404
Punjab,Firozpur,19,PALA SINGH,Independent,963,1,964
Punjab,Firozpur,20,BALKAR SINGH,Independent,1411,0,1411
Punjab,Firozpur,21,BUTA RAM GULATI,Independent,697,3,700
Punjab,Firozpur,22,MANOJ KUMAR,Independent,730,1,731
Punjab,Firozpur,23,NOTA,None of the Above,14436,455,14891
Punjab,Gurdaspur,1,SUNNY DEOL,Bharatiya Janata Party,551177,7542,558719
Punjab,Gurdaspur,2,SUNIL JAKHAR,Indian National Congress,474168,2092,476260
Punjab,Gurdaspur,3,PETER MASIH,Aam Aadmi Party,27401,343,27744
Punjab,Gurdaspur,4,ASHWANI KUMAR HAPPY,Communist Party of India (Marxist-Leninist) (Liberation),2422,47,2469
Punjab,Gurdaspur,5,JASBIR SINGH,Bahujan Samaj Party (Ambedkar),714,87,801
Punjab,Gurdaspur,6,PRITAM SINGH BHATTI,Janral Samaj Party,1173,68,1241
Punjab,Gurdaspur,7,MANGAL SINGH,Democratic Party of India,463,36,499
Punjab,Gurdaspur,8,YASH PAUL,Bahujan Mukti Party,643,23,666
Punjab,Gurdaspur,9,LAL CHAND KATARU CHAK,Revolutionary Marxist Party of India,15210,64,15274
Punjab,Gurdaspur,10,AMANDEEP SINGH GHOTRA,Independent,880,8,888
Punjab,Gurdaspur,11,SUKRIT SHARDA,Independent,1795,6,1801
Punjab,Gurdaspur,12,HARPREET SINGH,Independent,772,28,800
Punjab,Gurdaspur,13,KARAM SINGH,Independent,1053,12,1065
Punjab,Gurdaspur,14,KASIM DEEN,Independent,3130,6,3136
Punjab,Gurdaspur,15,PARAMPREET SINGH,Independent,2953,11,2964
Punjab,Gurdaspur,16,NOTA,None of the Above,9474,86,9560
Punjab,Hoshiarpur,1,SOM PARKASH,Bharatiya Janata Party,416711,4609,421320
Punjab,Hoshiarpur,2,KHUSHI RAM,Bahujan Samaj Party,128215,349,128564
Punjab,Hoshiarpur,3,Dr. RAVJOT SINGH,Aam Aadmi Party,44207,707,44914
Punjab,Hoshiarpur,4,Dr. RAJ KUMAR CHABBEWAL,Indian National Congress,369719,3071,372790
Punjab,Hoshiarpur,5,DHARAM PAL,Nationalist Justice Party,2895,7,2902
Punjab,Hoshiarpur,6,PARAMJIT SINGH (FAUJI BOOTHGARH),Samaj Bhalai Morcha,2845,72,2917
Punjab,Hoshiarpur,7,TILAK RAJ (VAID),Independent,2256,8,2264
Punjab,Hoshiarpur,8,DAVINDER SINGH,Independent,2239,13,2252
Punjab,Hoshiarpur,9,NOTA,None of the Above,12755,113,12868
Punjab,Jalandhar,1,Santokh Singh Chaudhary,Indian National Congress,385449,263,385712
Punjab,Jalandhar,2,Charanjit Singh Atwal,Shiromani Akali Dal,365934,287,366221
Punjab,Jalandhar,3,Justice (Retd.) Jora Singh,Aam Aadmi Party,25382,85,25467
Punjab,Jalandhar,4,Balwinder Kumar,Bahujan Samaj Party,204712,71,204783
Punjab,Jalandhar,5,Urmilla,Ambedkar National Congress,1330,10,1340
Punjab,Jalandhar,6,Subhash Goria,Shivsena,2443,27,2470
Punjab,Jalandhar,7,Hari Mitter,Peoples Party of India (Democratic),1188,3,1191
Punjab,Jalandhar,8,Gurupal Singh,Bharat Prabhat Party,492,8,500
Punjab,Jalandhar,9,Jagan Nath Bajwa,Hum Bhartiya Party,1428,2,1430
Punjab,Jalandhar,10,Tara Singh Gill,Bahujan Samaj Party (Ambedkar),2458,5,2463
Punjab,Jalandhar,11,Parkash Chand Jassal,Republican Party of India (A),683,1,684
Punjab,Jalandhar,12,Baljinder Sodhi,Nationalist Justice Party,845,0,845
Punjab,Jalandhar,13,Ramesh Lal Kala,Bahujan Mukti Party,921,0,921
Punjab,Jalandhar,14,Opkar Singh Bakhshi,Independent,1087,1,1088
Punjab,Jalandhar,15,Amrish Kumar,Independent,1591,0,1591
